date,Total_fee
1," 258,468,000 "
2," 254,823,000 "
3," 231,264,000 "
4," 230,097,000 "
5," 227,145,000 "
6," 224,217,000 "
7," 297,653,000 "
8," 303,328,000 "
9," 350,411,000 "
10," 231,054,000 "
11," 239,391,000 "
12," 269,466,000 "
13," 230,094,000 "
14," 248,592,000 "
15," 198,227,000 "
16," 226,527,000 "
17," 215,487,000 "
18," 204,258,000 "
19," 345,895,000 "
20," 289,291,000 "
21," 238,869,000 "
22," 339,407,000 "
23," 205,179,000 "
24," 264,246,000 "
25," 244,377,000 "
26," 399,959,000 "
